N,chi_t,C,S_ent,sz_A,sz_B,F_pred,S_chsh
10,1.210448,0.00000000,1.68667364,0.00000000,0.00000000,0.66666667,2.00000000
10,1.269970,0.00000000,1.73730767,-0.00000000,0.00000000,0.66666667,2.00000000
10,1.329493,0.00000000,1.78198185,0.00000000,0.00000000,0.66666667,2.00000000
10,1.389015,0.00000000,1.82098585,0.00000000,0.00000000,0.66666667,2.00000000
10,1.448538,0.00000000,1.85466837,0.00000000,0.00000000,0.66666667,2.00000000
10,1.508060,0.00000000,1.88342358,0.00000000,0.00000000,0.66666667,2.00000000
10,1.567582,0.00000000,1.90767784,0.00000000,0.00000000,0.66666667,2.00000000
10,1.627105,0.00000000,1.92787670,-0.00000000,0.00000000,0.66666667,2.00000000
10,1.686627,0.00000000,1.94447270,0.00000000,0.00000000,0.66666667,2.00000000
10,1.746150,0.00000000,1.95791413,0.00000000,0.00000000,0.66666667,2.00000000
10,1.805672,0.00000000,1.96863508,0.00000000,0.00000000,0.66666667,2.00000000
10,1.865194,0.00000000,1.97704690,0.00000000,0.00000000,0.66666667,2.00000000
10,1.924717,0.00000000,1.98353137,0.00000000,0.00000000,0.66666667,2.00000000
10,1.984239,0.00000000,1.98843557,0.00000000,0.00000000,0.66666667,2.00000000
10,2.043762,0.00000000,1.99206851,-0.00000000,0.00000000,0.66666667,2.00000000
10,2.103284,0.00000000,1.99469950,0.00000000,0.00000000,0.66666667,2.00000000
10,2.162806,0.00000000,1.99655810,0.00000000,0.00000000,0.66666667,2.00000000
10,2.222329,0.00000000,1.99783550,0.00000000,0.00000000,0.66666667,2.00000000
10,2.281851,0.00000000,1.99868698,0.00000000,0.00000000,0.66666667,2.00000000
10,2.341374,0.00000000,1.99923538,0.00000000,0.00000000,0.66666667,2.00000000
10,2.400896,0.00000000,1.99957510,-0.00000000,0.00000000,0.66666667,2.00000000
10,2.460418,0.00000000,1.99977634,0.00000000,0.00000000,0.66666667,2.00000000
10,2.519941,0.00000000,1.99988954,0.00000000,0.00000000,0.66666667,2.00000000
10,2.579463,0.00000000,1.99994945,0.00000000,0.00000000,0.66666667,2.00000000
10,2.638986,0.00000000,1.99997891,0.00000000,0.00000000,0.66666667,2.00000000
10,2.698508,0.00000000,1.99999216,0.00000000,0.00000000,0.66666667,2.00000000
10,2.758030,0.00000000,1.99999749,0.00000000,0.00000000,0.66666667,2.00000000
10,2.817553,0.00000000,1.99999934,-0.00000000,0.00000000,0.66666667,2.00000000
10,2.877075,0.00000000,1.99999987,0.00000000,0.00000000,0.66666667,2.00000000
10,2.936598,0.00000000,1.99999998,0.00000000,0.00000000,0.66666667,2.00000000
10,2.996120,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
10,3.055642,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
10,3.115165,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
10,3.174687,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
10,3.234210,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
10,3.293732,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
10,3.353254,0.00000000,1.99999998,0.00000000,0.00000000,0.66666667,2.00000000
10,3.412777,0.00000000,1.99999984,-0.00000000,0.00000000,0.66666667,2.00000000
10,3.472299,0.00000000,1.99999922,0.00000000,0.00000000,0.66666667,2.00000000
10,3.531822,0.00000000,1.99999712,0.00000000,0.00000000,0.66666667,2.00000000
10,3.591344,0.00000000,1.99999118,0.00000000,0.00000000,0.66666667,2.00000000
10,3.650866,0.00000000,1.99997662,0.00000000,0.00000000,0.66666667,2.00000000
